"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
608718,"Suter, Brent","Pit",158,499,499,317,12.639,182,12.639,0.4909819639278557,0.48296593186372744,0.026052104208416832
669674,"Long, Sam","Pit",137,346,346,219,12.758,127,12.758,0.4884393063583815,0.4884393063583815,0.023121387283236993
445926,"Chavez, Jesse","Pit",144,588,588,337,13.688,251,13.688,0.3945578231292517,0.5884353741496599,0.017006802721088437
608344,"Irvin, Cole","Pit",133,1146,1146,742,14.068,404,14.068,0.4031413612565445,0.5724258289703316,0.02443280977312391
605154,"Brebbia, John","Pit",137,476,476,240,14.175,236,14.175,0.3025210084033613,0.6176470588235294,0.07983193277310924
571927,"Matz, Steven","Pit",138,392,392,270,14.39,122,14.39,0.41836734693877553,0.5459183673469388,0.03571428571428571
669211,"Akin, Keegan","Pit",110,518,518,315,14.405,203,14.405,0.35135135135135137,0.6312741312741312,0.017374517374517374
676879,"Ashby, Aaron","Pit",158,922,922,571,14.501,351,14.501,0.3676789587852495,0.5835140997830802,0.04880694143167028
657277,"Webb, Logan","Pit",137,1446,1446,922,14.504,524,14.504,0.3665283540802213,0.5933609958506224,0.040110650069156296
669456,"Bieber, Shane","Pit",114,1271,1271,945,14.553,326,14.553,0.4177812745869394,0.5656963021243115,0.016522423288749016
665665,"Sanmartin, Reiver","Pit",113,499,499,279,14.58,220,14.58,0.3106212424849699,0.657314629258517,0.03206412825651302
608566,"Márquez, Germán","Pit",115,1222,1222,810,14.622,412,14.622,0.3690671031096563,0.5949263502454992,0.03600654664484452
596001,"Junis, Jakob","Pit",137,880,880,587,14.629,293,14.629,0.38522727272727275,0.5840909090909091,0.03068181818181818
663903,"Singer, Brady","Pit",118,1174,1174,797,14.633,377,14.633,0.3850085178875639,0.5809199318568995,0.034071550255536626
680704,"Sandlin, Nick","Pit",114,358,358,162,14.655,196,14.655,0.2541899441340782,0.7011173184357542,0.0446927374301676
693821,"Elder, Bryce","Pit",144,406,406,280,14.772,126,14.772,0.35714285714285715,0.5985221674876847,0.04433497536945813
665621,"García, Rony","Pit",116,432,432,317,14.793,115,14.793,0.3888888888888889,0.5787037037037037,0.032407407407407406
656849,"Peterson, David","Pit",121,893,893,550,14.84,343,14.84,0.3247480403135498,0.6506159014557671,0.02463605823068309
615698,"Quantrill, Cal","Pit",114,1317,1317,868,14.857,449,14.857,0.3447228549734245,0.6180713743356112,0.03720577069096431
571945,"Mikolas, Miles","Pit",138,1456,1456,1023,14.905,433,14.905,0.3646978021978022,0.6037087912087912,0.03159340659340659
656605,"Keller, Mitch","Pit",134,1261,1261,765,14.992,496,14.992,0.3037272006344171,0.6534496431403648,0.04282315622521808
641482,"Cortes, Nestor","Pit",147,1103,1103,803,14.994,300,14.994,0.36627379873073435,0.5911151405258386,0.04261106074342702
657093,"Watkins, Spenser","Pit",110,744,744,461,15.02,283,15.02,0.30913978494623656,0.657258064516129,0.033602150537634407
592836,"Walker, Taijuan","Pit",121,1143,1143,802,15.073,341,15.073,0.363079615048119,0.6010498687664042,0.03587051618547681
622072,"Wood, Alex","Pit",137,1039,1039,659,15.097,380,15.097,0.3128007699711261,0.6410009624639076,0.04619826756496631
596295,"Gomber, Austin","Pit",115,910,910,594,15.109,316,15.109,0.310989010989011,0.6615384615384615,0.027472527472527472
669302,"Gilbert, Logan","Pit",136,1342,1342,895,15.173,447,15.173,0.3263785394932936,0.6304023845007451,0.043219076005961254
622503,"Crismatt, Nabil","Pit",135,474,474,311,15.226,163,15.226,0.3206751054852321,0.6476793248945147,0.03164556962025317
594835,"Gonzales, Marco","Pit",136,1284,1284,836,15.257,448,15.257,0.29595015576323985,0.6705607476635514,0.03348909657320872
501985,"Minor, Mike","Pit",113,835,835,516,15.276,319,15.276,0.2778443113772455,0.6646706586826348,0.05748502994011976
571760,"Heaney, Andrew","Pit",119,542,542,380,15.303,162,15.303,0.3173431734317343,0.6660516605166051,0.016605166051660517
622491,"Castillo, Luis","Pit",136,1145,1145,748,15.33,397,15.33,0.3056768558951965,0.6663755458515284,0.02794759825327511
448179,"Hill, Rich","Pit",111,958,958,638,15.336,320,15.336,0.33924843423799583,0.6137787056367432,0.04697286012526096
641745,"Keller, Brad","Pit",118,999,999,643,15.364,356,15.364,0.2872872872872873,0.6646646646646647,0.04804804804804805
672851,"Adon, Joan","Pit",120,563,563,301,15.371,262,15.371,0.23978685612788633,0.6820603907637656,0.07815275310834814
641778,"Lauer, Eric","Pit",158,1260,1260,818,15.388,442,15.388,0.2857142857142857,0.6436507936507937,0.07063492063492063
621244,"Berríos, José","Pit",141,1243,1243,786,15.39,457,15.39,0.28881737731295254,0.6781979082864039,0.03298471440064361
663738,"Lynch, Daniel","Pit",118,1074,1074,655,15.413,419,15.413,0.26908752327746743,0.6992551210428305,0.03165735567970205
656353,"Davidson, Tucker","Pit",108,432,432,253,15.434,179,15.434,0.2638888888888889,0.6990740740740741,0.037037037037037035
622608,"Senzatela, Antonio","Pit",115,724,724,401,15.435,323,15.435,0.24585635359116023,0.7251381215469613,0.029005524861878452
593958,"Rodriguez, Eduardo","Pit",116,686,686,429,15.436,257,15.436,0.2915451895043732,0.6822157434402333,0.026239067055393587
668676,"Plesac, Zach","Pit",114,920,920,595,15.441,325,15.441,0.2728260869565217,0.6858695652173913,0.041304347826086954
592767,"Smyly, Drew","Pit",112,765,765,502,15.457,263,15.457,0.3032679738562091,0.6679738562091503,0.02875816993464052
645261,"Alcantara, Sandy","Pit",146,1345,1345,922,15.462,423,15.462,0.29739776951672864,0.6453531598513012,0.05724907063197026
571948,"Milner, Hoby","Pit",158,568,568,290,15.528,278,15.528,0.21654929577464788,0.7482394366197183,0.035211267605633804
543475,"Lyles, Jordan","Pit",110,1379,1379,900,15.53,479,15.53,0.2864394488759971,0.6722262509064539,0.04133430021754895
640455,"Manaea, Sean","Pit",135,1087,1087,724,15.532,363,15.532,0.29162833486660533,0.6752529898804048,0.03311867525298988
456501,"Cueto, Johnny","Pit",145,1095,1095,742,15.657,353,15.657,0.3141552511415525,0.6100456621004566,0.07579908675799087
608379,"Wacha, Michael","Pit",111,861,861,588,15.658,273,15.658,0.27177700348432055,0.6782810685249709,0.04994192799070848
656412,"Faedo, Alex","Pit",116,446,446,246,15.668,200,15.668,0.21748878923766815,0.7466367713004485,0.03587443946188341
663455,"Pilkington, Konnor","Pit",114,483,483,274,15.686,209,15.686,0.22153209109730848,0.7556935817805382,0.022774327122153208
664141,"Brubaker, JT","Pit",134,1081,1081,647,15.733,434,15.733,0.2627197039777983,0.7095282146160962,0.027752081406105456
605288,"Houser, Adrian","Pit",158,905,905,548,15.754,357,15.754,0.23314917127071824,0.7116022099447514,0.055248618784530384
669212,"Morgan, Eli","Pit",114,436,436,282,15.78,154,15.78,0.2706422018348624,0.6651376146788991,0.06422018348623854
669373,"Skubal, Tarik","Pit",116,854,854,557,15.802,297,15.802,0.24355971896955503,0.724824355971897,0.03161592505854801
681806,"Wantz, Andrew","Pit",108,385,385,217,15.819,168,15.819,0.24155844155844156,0.6909090909090909,0.06753246753246753
605164,"Bundy, Dylan","Pit",142,913,913,619,15.853,294,15.853,0.26506024096385544,0.6889375684556407,0.04600219058050383
672710,"Contreras, Roansy","Pit",134,718,718,474,15.878,244,15.878,0.25069637883008355,0.7047353760445683,0.04456824512534819
664139,"Gibaut, Ian","Pit",113,324,324,161,15.901,163,15.901,0.19135802469135801,0.75,0.05864197530864197
663474,"McKenzie, Triston","Pit",114,1178,1178,877,15.948,301,15.948,0.27928692699490665,0.6723259762308998,0.04838709677419355
477132,"Kershaw, Clayton","Pit",119,790,790,569,15.982,221,15.982,0.2721518987341772,0.710126582278481,0.017721518987341773
621111,"Buehler, Walker","Pit",119,459,459,296,15.995,163,15.995,0.25272331154684097,0.7124183006535948,0.034858387799564274
657140,"Wright, Kyle","Pit",144,1250,1250,813,15.999,437,15.999,0.236,0.7168,0.0472
593334,"Germán, Domingo","Pit",147,487,487,328,16.007,159,16.007,0.25051334702258726,0.7002053388090349,0.049281314168377825
641927,"Ober, Bailey","Pit",142,369,369,255,16.026,114,16.026,0.26287262872628725,0.7073170731707317,0.02981029810298103
571578,"Corbin, Patrick","Pit",120,1198,1198,728,16.043,470,16.043,0.21452420701168615,0.7153589315525877,0.07011686143572621
642545,"Barría, Jaime","Pit",108,500,500,311,16.047,189,16.047,0.214,0.764,0.022
624522,"Thompson, Keegan","Pit",112,887,887,553,16.074,334,16.074,0.21645997745208567,0.7440811724915445,0.03945885005636979
669920,"Alexander, Jason","Pit",158,586,586,384,16.076,202,16.076,0.22696245733788395,0.726962457337884,0.04607508532423208
643493,"Pruitt, Austin","Pit",133,359,359,252,16.089,107,16.089,0.18662952646239556,0.7938718662952646,0.019498607242339833
666721,"Castillo, Max","Pit",118,326,326,240,16.118,86,16.118,0.21779141104294478,0.7300613496932515,0.05214723926380368
676265,"Abbott, Cory","Pit",120,368,368,244,16.119,124,16.119,0.22282608695652173,0.6820652173913043,0.09510869565217392
641771,"Kuhl, Chad","Pit",115,1140,1140,721,16.14,419,16.14,0.21403508771929824,0.7228070175438597,0.06315789473684211
666200,"Luzardo, Jesús","Pit",146,756,756,536,16.143,220,16.143,0.27380952380952384,0.6984126984126984,0.027777777777777776
605200,"Davies, Zach","Pit",109,1158,1158,790,16.15,368,16.15,0.20466321243523317,0.7590673575129534,0.03626943005181347
622663,"Severino, Luis","Pit",147,727,727,510,16.258,217,16.258,0.2861072902338377,0.6478679504814305,0.06602475928473177
666120,"Anderson, Ian","Pit",144,893,893,593,16.262,300,16.262,0.23964165733482642,0.7133258678611423,0.04703247480403135
676477,"Whitlock, Garrett","Pit",111,525,525,379,16.266,146,16.266,0.22285714285714286,0.7276190476190476,0.049523809523809526
672282,"Detmers, Reid","Pit",108,1005,1005,622,16.271,383,16.271,0.20298507462686566,0.7522388059701492,0.04477611940298507
670174,"Winckowski, Josh","Pit",111,597,597,348,16.29,249,16.29,0.21273031825795644,0.7135678391959799,0.07370184254606366
678394,"Bello, Brayan","Pit",111,469,469,225,16.291,244,16.291,0.16417910447761194,0.6695095948827292,0.16631130063965885
686752,"Pepiot, Ryan","Pit",119,379,379,223,16.351,156,16.351,0.19525065963060687,0.7810026385224275,0.023746701846965697
547179,"Lorenzen, Michael","Pit",108,763,763,478,16.38,285,16.38,0.22280471821756226,0.7431192660550459,0.03407601572739188
543521,"McHugh, Collin","Pit",144,482,482,279,16.381,203,16.381,0.15560165975103735,0.8008298755186722,0.043568464730290454
624133,"Suárez, Ranger","Pit",143,1227,1227,791,16.406,436,16.406,0.2143439282803586,0.7440912795436023,0.04156479217603912
641712,"Hudson, Dakota","Pit",138,1098,1098,669,16.42,429,16.42,0.1766848816029144,0.7522768670309654,0.07103825136612021
657746,"Ryan, Joe","Pit",142,1032,1032,674,16.439,358,16.439,0.2063953488372093,0.7374031007751938,0.0562015503875969
664353,"Urquidy, José","Pit",117,1134,1134,717,16.44,417,16.44,0.21075837742504408,0.7530864197530864,0.036155202821869487
669923,"Kirby, George","Pit",136,889,889,569,16.483,320,16.483,0.17885264341957255,0.7581552305961755,0.06299212598425197
641540,"Dunning, Dane","Pit",140,1209,1209,767,16.515,442,16.515,0.1968569065343259,0.7468982630272953,0.05624483043837883
670912,"Oviedo, Johan","Pit",134,445,445,270,16.518,175,16.518,0.19775280898876405,0.750561797752809,0.051685393258426963
670124,"Oller, Adam","Pit",133,593,593,359,16.52,234,16.52,0.1736930860033727,0.7757166947723441,0.050590219224283306
666159,"Manning, Matt","Pit",116,441,441,298,16.539,143,16.539,0.18140589569160998,0.7913832199546486,0.027210884353741496
573186,"Stroman, Marcus","Pit",112,1047,1047,708,16.545,339,16.545,0.20152817574021012,0.7621776504297995,0.03629417382999045
570632,"Ureña, José","Pit",115,741,741,453,16.561,288,16.561,0.17273954116059378,0.7611336032388664,0.06612685560053981
502179,"Espino, Paolo","Pit",120,932,932,628,16.562,304,16.562,0.18240343347639484,0.7725321888412017,0.045064377682403435
468504,"Chacín, Jhoulys","Pit",115,362,362,195,16.582,167,16.582,0.15193370165745856,0.7928176795580111,0.055248618784530384
621383,"Banks, Tanner","Pit",145,398,398,252,16.598,146,16.598,0.16331658291457288,0.7989949748743719,0.03768844221105527
621121,"McCullers Jr., Lance","Pit",117,375,375,229,16.612,146,16.612,0.17066666666666666,0.712,0.11733333333333333
453286,"Scherzer, Max","Pit",121,931,931,702,16.612,229,16.612,0.21374865735767992,0.7475832438238453,0.03866809881847476
641627,"Gott, Trevor","Pit",158,378,378,222,16.62,156,16.62,0.12962962962962962,0.8068783068783069,0.06349206349206349
554430,"Wheeler, Zack","Pit",143,1030,1030,696,16.643,334,16.643,0.2,0.7495145631067961,0.05048543689320388
657006,"Steele, Justin","Pit",112,941,941,564,16.647,377,16.647,0.18172157279489903,0.7768331562167906,0.04144527098831031
593974,"Peralta, Wandy","Pit",147,335,335,214,16.651,121,16.651,0.24477611940298508,0.6776119402985075,0.07761194029850746
605242,"Fulmer, Michael","Pit",142,507,507,287,16.658,220,16.658,0.1301775147928994,0.7810650887573964,0.08875739644970414
628452,"Iglesias, Raisel","Pit",144,426,426,260,16.663,166,16.663,0.17370892018779344,0.7511737089201878,0.07511737089201878
475479,"Phelps, David","Pit",141,578,578,314,16.666,264,16.666,0.19204152249134948,0.7145328719723183,0.09342560553633218
667463,"King, John","Pit",140,340,340,175,16.698,165,16.698,0.11470588235294117,0.8441176470588235,0.041176470588235294
666129,"Garrett, Braxton","Pit",146,649,649,434,16.7,215,16.7,0.1694915254237288,0.765793528505393,0.06471494607087827
640444,"Crowe, Wil","Pit",134,635,635,399,16.75,236,16.75,0.17480314960629922,0.7417322834645669,0.08346456692913386
669169,"Heasley, Jonathan","Pit",118,841,841,489,16.75,352,16.75,0.15338882282996433,0.807372175980975,0.039239001189060645
680739,"Winder, Josh","Pit",142,508,508,343,16.79,165,16.79,0.17716535433070865,0.7460629921259843,0.07677165354330709
425794,"Wainwright, Adam","Pit",138,1553,1553,1000,16.797,553,16.797,0.1912427559562138,0.7405022537025112,0.06825499034127495
656970,"Smeltzer, Devin","Pit",142,542,542,376,16.814,166,16.814,0.11439114391143912,0.8597785977859779,0.025830258302583026
623451,"Stephens, Jackson","Pit",144,425,425,233,16.858,192,16.858,0.16470588235294117,0.7341176470588235,0.1011764705882353
607237,"Garrett, Amir","Pit",118,374,374,166,16.864,208,16.864,0.14705882352941177,0.8155080213903744,0.0374331550802139
502171,"Cobb, Alex","Pit",137,1153,1153,747,16.876,406,16.876,0.20034692107545535,0.7276669557675629,0.07198612315698179
669270,"Kuhnel, Joel","Pit",113,425,425,244,16.89,181,16.89,0.17647058823529413,0.7835294117647059,0.04
675911,"Strider, Spencer","Pit",144,1005,1005,713,16.891,292,16.891,0.16517412935323383,0.7850746268656716,0.04975124378109453
621107,"Eflin, Zach","Pit",143,542,542,361,16.907,181,16.907,0.16420664206642066,0.7822878228782287,0.05350553505535055
605397,"Musgrove, Joe","Pit",135,1339,1339,889,16.908,450,16.908,0.1179985063480209,0.7998506348020911,0.08215085884988797
668678,"Gallen, Zac","Pit",109,1314,1314,975,16.937,339,16.937,0.2054794520547945,0.6963470319634704,0.09817351598173515
608648,"Duffey, Tyler","Pit",142,352,352,225,16.946,127,16.946,0.09375,0.8522727272727273,0.05397727272727273
446372,"Kluber, Corey","Pit",139,1085,1085,725,16.964,360,16.964,0.12903225806451613,0.8331797235023042,0.03778801843317972
676710,"Crawford, Kutter","Pit",111,588,588,404,16.967,184,16.967,0.17687074829931973,0.7397959183673469,0.08333333333333333
518876,"Kelly, Merrill","Pit",109,1384,1384,936,16.982,448,16.982,0.16546242774566475,0.7774566473988439,0.05708092485549133
607625,"Lugo, Seth","Pit",121,536,536,330,16.988,206,16.988,0.17350746268656717,0.7873134328358209,0.03917910447761194
543294,"Hendricks, Kyle","Pit",112,653,653,443,16.989,210,16.989,0.10719754977029096,0.8698315467075038,0.022970903522205207
518553,"Cishek, Steve","Pit",120,604,604,345,16.996,259,16.996,0.10596026490066225,0.8543046357615894,0.039735099337748346
661395,"Duran, Jhoan","Pit",142,394,394,253,17.001,141,17.001,0.1802030456852792,0.6903553299492385,0.12944162436548223
601713,"Pivetta, Nick","Pit",111,1394,1394,845,17.019,549,17.019,0.1398852223816356,0.7525107604017217,0.10760401721664276
643511,"Rogers, Tyler","Pit",137,600,600,348,17.04,252,17.04,0.055,0.925,0.02
641816,"Mahle, Tyler","Pit",142,1027,1027,682,17.046,345,17.046,0.17818889970788704,0.7702044790652386,0.05160662122687439
594798,"deGrom, Jacob","Pit",121,381,381,321,17.073,60,17.073,0.2073490813648294,0.7506561679790026,0.04199475065616798
622694,"Hernandez, Elieser","Pit",146,480,480,320,17.086,160,17.086,0.15416666666666667,0.8020833333333334,0.04375
656354,"Davis, Austin","Pit",142,530,530,296,17.102,234,17.102,0.1169811320754717,0.8566037735849057,0.026415094339622643
668881,"Greene, Hunter","Pit",113,957,957,659,17.132,298,17.132,0.16300940438871472,0.7972831765935214,0.03970741901776385
572971,"Keuchel, Dallas","Pit",140,550,550,301,17.133,249,17.133,0.08545454545454545,0.8818181818181818,0.03272727272727273
548389,"Stripling, Ross","Pit",141,898,898,634,17.136,264,17.136,0.15256124721603564,0.8151447661469933,0.03229398663697105
592791,"Taillon, Jameson","Pit",147,1287,1287,858,17.141,429,17.141,0.12354312354312354,0.8383838383838383,0.03807303807303807
657612,"Hill, Tim","Pit",135,370,370,205,17.147,165,17.147,0.11351351351351352,0.8432432432432433,0.043243243243243246
641501,"Danish, Tyler","Pit",111,340,340,232,17.169,108,17.169,0.1323529411764706,0.8441176470588235,0.023529411764705882
592866,"Williams, Trevor","Pit",121,644,644,439,17.173,205,17.173,0.12888198757763975,0.8322981366459627,0.03881987577639751
669060,"Wilson, Bryse","Pit",134,865,865,523,17.174,342,17.174,0.12138728323699421,0.846242774566474,0.03236994219653179
666157,"Lodolo, Nick","Pit",113,850,850,533,17.176,317,17.176,0.11411764705882353,0.8435294117647059,0.042352941176470586
434671,"Sánchez, Aníbal","Pit",120,570,570,392,17.19,178,17.19,0.1456140350877193,0.8070175438596491,0.04736842105263158
663556,"McClanahan, Shane","Pit",139,1119,1119,803,17.196,316,17.196,0.1680071492403932,0.8007149240393209,0.03127792672028597
665152,"Kremer, Dean","Pit",110,852,852,566,17.239,286,17.239,0.1431924882629108,0.7922535211267606,0.06455399061032864
607536,"Freeland, Kyle","Pit",115,1313,1313,834,17.239,479,17.239,0.13023610053313023,0.7951256664127951,0.07463823305407463
571710,"Givens, Mychal","Pit",121,497,497,270,17.249,227,17.249,0.12474849094567404,0.8008048289738431,0.0744466800804829
669432,"Rogers, Trevor","Pit",146,860,860,534,17.276,326,17.276,0.09651162790697675,0.8255813953488372,0.07790697674418605
657376,"Schmidt, Clarke","Pit",147,426,426,217,17.293,209,17.293,0.09624413145539906,0.8098591549295775,0.09389671361502347
666374,"Brash, Matt","Pit",136,458,458,231,17.302,227,17.302,0.1222707423580786,0.8056768558951966,0.07205240174672489
450203,"Morton, Charlie","Pit",144,1367,1367,935,17.319,432,17.319,0.14923189465983908,0.7959034381858083,0.0548646671543526
622253,"Tate, Dillon","Pit",110,485,485,286,17.322,199,17.322,0.10103092783505155,0.8474226804123711,0.05154639175257732
663372,"Feltner, Ryan","Pit",115,797,797,501,17.327,296,17.327,0.13801756587202008,0.8080301129234629,0.053952321204516936
607200,"Fedde, Erick","Pit",120,1253,1253,741,17.332,512,17.332,0.12689545091779728,0.816440542697526,0.05666400638467677
502085,"Robertson, David","Pit",143,503,503,294,17.371,209,17.371,0.10139165009940358,0.856858846918489,0.041749502982107355
665795,"Cabrera, Edward","Pit",146,591,591,412,17.392,179,17.392,0.16751269035532995,0.7749576988155669,0.05752961082910321
621016,"Cuas, Jose","Pit",118,337,337,146,17.394,191,17.394,0.10089020771513353,0.857566765578635,0.04154302670623145
502202,"Boxberger, Brad","Pit",158,533,533,290,17.407,243,17.407,0.0525328330206379,0.900562851782364,0.04690431519699812
594577,"Mayers, Mike","Pit",108,406,406,276,17.417,130,17.417,0.1625615763546798,0.7684729064039408,0.06896551724137931
542881,"Anderson, Tyler","Pit",119,1083,1083,758,17.418,325,17.418,0.10156971375807941,0.8578024007386889,0.040627885503231764
518516,"Bumgarner, Madison","Pit",109,1247,1247,748,17.444,499,17.444,0.11868484362469928,0.8227746591820368,0.05854049719326383
623167,"Flexen, Chris","Pit",136,956,956,628,17.467,328,17.467,0.12133891213389121,0.8274058577405857,0.051255230125523014
650644,"Civale, Aaron","Pit",114,749,749,505,17.468,244,17.468,0.08945260347129506,0.8678237650200267,0.042723631508678236
641729,"Jiménez, Joe","Pit",116,384,384,254,17.494,130,17.494,0.078125,0.875,0.046875
641835,"Mayza, Tim","Pit",141,352,352,222,17.525,130,17.525,0.14772727272727273,0.7982954545454546,0.05397727272727273
608032,"Estévez, Carlos","Pit",115,457,457,280,17.559,177,17.559,0.12253829321663019,0.824945295404814,0.0525164113785558
682051,"Hill, Garrett","Pit",116,476,476,279,17.588,197,17.588,0.07773109243697479,0.8823529411764706,0.03991596638655462
670950,"Richards, Trevor","Pit",141,553,553,356,17.596,197,17.596,0.10126582278481013,0.8607594936708861,0.0379746835443038
621242,"Díaz, Edwin","Pit",121,384,384,235,17.603,149,17.603,0.16145833333333334,0.796875,0.041666666666666664
543037,"Cole, Gerrit","Pit",147,1490,1490,1042,17.603,448,17.603,0.14966442953020134,0.7771812080536913,0.07315436241610739
621074,"Rucker, Michael","Pit",112,430,430,246,17.605,184,17.605,0.07441860465116279,0.8837209302325582,0.04186046511627907
642547,"Peralta, Freddy","Pit",158,667,667,464,17.632,203,17.632,0.10044977511244378,0.8350824587706147,0.06446776611694154
571800,"Hutchison, Drew","Pit",116,776,776,474,17.643,302,17.643,0.125,0.8311855670103093,0.04381443298969072
500779,"Quintana, José","Pit",138,1245,1245,803,17.645,442,17.645,0.1285140562248996,0.8184738955823293,0.05301204819277108
663460,"Bubic, Kris","Pit",118,1055,1055,616,17.647,439,17.647,0.11848341232227488,0.833175355450237,0.04834123222748815
656657,"Logue, Zach","Pit",133,484,484,321,17.663,163,17.663,0.10330578512396695,0.871900826446281,0.024793388429752067
543243,"Gray, Sonny","Pit",142,900,900,604,17.667,296,17.667,0.10333333333333333,0.83,0.06666666666666667
471911,"Carrasco, Carlos","Pit",121,1035,1035,678,17.695,357,17.695,0.08405797101449275,0.8898550724637682,0.02608695652173913
425844,"Greinke, Zack","Pit",118,1075,1075,649,17.696,426,17.696,0.16465116279069766,0.7776744186046511,0.05767441860465116
607259,"Martinez, Nick","Pit",135,771,771,476,17.727,295,17.727,0.12321660181582361,0.7367055771725033,0.14007782101167315
528748,"Castellanos, Humberto","Pit",109,361,361,208,17.749,153,17.749,0.0443213296398892,0.8975069252077562,0.05817174515235457
543135,"Eovaldi, Nathan","Pit",111,750,750,500,17.767,250,17.767,0.12533333333333332,0.804,0.07066666666666667
664285,"Valdez, Framber","Pit",117,1381,1381,906,17.774,475,17.774,0.18609703113685735,0.7494569152787834,0.06444605358435916
592717,"Sanchez, Aaron","Pit",142,472,472,312,17.81,160,17.81,0.12076271186440678,0.8241525423728814,0.05508474576271186
676714,"Hughes, Brandon","Pit",112,416,416,248,17.81,168,17.81,0.06490384615384616,0.9014423076923077,0.03365384615384615
643410,"Leiter Jr., Mark","Pit",112,520,520,322,17.846,198,17.846,0.06346153846153846,0.8653846153846154,0.07115384615384615
643256,"Cimber, Adam","Pit",141,482,482,267,17.875,215,17.875,0.05394190871369295,0.8941908713692946,0.05186721991701245
656638,"Lange, Alex","Pit",116,477,477,269,17.939,208,17.939,0.09224318658280922,0.8301886792452831,0.07756813417190776
656061,"Abreu, Albert","Pit",147,336,336,189,17.943,147,17.943,0.09226190476190477,0.8065476190476191,0.10119047619047619
605135,"Bassitt, Chris","Pit",121,1393,1393,890,17.943,503,17.943,0.14788226848528357,0.7494615936826992,0.10265613783201723
608331,"Fried, Max","Pit",144,1282,1282,863,18.041,419,18.041,0.13650546021840873,0.7620904836193447,0.10140405616224649
656234,"Bird, Jake","Pit",115,380,380,220,18.046,160,18.046,0.02894736842105263,0.9315789473684211,0.039473684210526314
